k,affinity,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure
6,rbf_gamma10,lobpcg,0.3291294758599127,1.2217946964258701,0.004561421009825191,"(np.float64(0.01892133386381893), np.float64(0.01653733323395843), np.float64(0.017649191520601164))"
7,nearest_neighbors,lobpcg,0.041571124638798244,1.4023829205000202,0.014764395087961738,"(np.float64(0.024953173710692934), np.float64(0.018449531907338727), np.float64(0.02121408644964901))"
7,rbf_gamma0.1,lobpcg,0.23921700161058881,1.3171509062412579,0.012947228770634821,"(np.float64(0.041706401459440004), np.float64(0.023285023306168707), np.float64(0.029885005091114147))"
7,rbf_gamma1,lobpcg,0.29393135598142334,1.2579903721145491,0.021848154296582416,"(np.float64(0.04541407422974115), np.float64(0.028409053507142647), np.float64(0.034953026356954645))"
7,rbf_gamma10,lobpcg,0.328173476816986,1.1705445272390445,0.00458830764407854,"(np.float64(0.01910178242066668), np.float64(0.016553342505527164), np.float64(0.017736487953969274))"
8,nearest_neighbors,lobpcg,0.042273087889551024,1.3426093690633527,0.020171396029843188,"(np.float64(0.030173357720070095), np.float64(0.02087712603738894), np.float64(0.024678825575324182))"
8,rbf_gamma0.1,lobpcg,0.21019443045226643,1.3502140847408102,0.011285027896013365,"(np.float64(0.038388219682244), np.float64(0.01997691271609325), np.float64(0.026278638714790227))"
8,rbf_gamma1,lobpcg,0.2810364611466999,1.3223254901989527,0.012809492593625307,"(np.float64(0.04223548701576954), np.float64(0.023269493859825345), np.float64(0.03000682979044552))"
8,rbf_gamma10,lobpcg,0.26713971035466944,1.0859045591505523,-0.006507538674937614,"(np.float64(0.016238908791711925), np.float64(0.018046572857287273), np.float64(0.01709508728112189))"
9,nearest_neighbors,lobpcg,0.03827951063780477,1.628565119938033,0.019680929204522107,"(np.float64(0.031009203834928133), np.float64(0.019939626342607295), np.float64(0.02427187966811614))"
9,rbf_gamma0.1,lobpcg,0.24042892036107835,1.3983558035360635,0.010149938251380847,"(np.float64(0.04055392540082333), np.float64(0.0202488498695961), np.float64(0.027010949530245246))"
