Algorithm,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,noise
euclidean_auto_15_1,0.8464435470122856,0.19541368268817377,-0.004481841932870382,"(np.float64(0.20542561631296852), np.float64(0.017368988169697078), np.float64(0.032029816052123385))",1196
euclidean_brute_15_1,0.8464435470122856,0.19541368268817377,-0.004481841932870382,"(np.float64(0.20542561631296852), np.float64(0.017368988169697078), np.float64(0.032029816052123385))",1196
cosine_auto_15_1,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
cosine_brute_15_1,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
l1_auto_15_1,0.8347805718304457,0.2027788626052358,-0.0014050997493997828,"(np.float64(0.23497855238026813), np.float64(0.015970878034812837), np.float64(0.02990892463597012))",1494
l1_brute_15_1,0.8347805718304457,0.2027788626052358,-0.0014050997493997828,"(np.float64(0.23497855238026813), np.float64(0.015970878034812837), np.float64(0.02990892463597012))",1494
euclidean_auto_20_1,0.8429059677071612,0.2076768841529069,-0.005852487003931437,"(np.float64(0.22607318577715585), np.float64(0.01863947043073912), np.float64(0.03443944850891892))",1080
euclidean_brute_20_1,0.8429059677071612,0.2076768841529069,-0.005852487003931437,"(np.float64(0.22607318577715585), np.float64(0.01863947043073912), np.float64(0.03443944850891892))",1080
cosine_auto_20_1,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
cosine_brute_20_1,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
l1_auto_20_1,0.8318539952561316,0.2131328740649493,-0.005525190558542928,"(np.float64(0.20965244472054498), np.float64(0.017934802106122617), np.float64(0.03304293328871359))",1054
l1_brute_20_1,0.8318539952561316,0.2131328740649493,-0.005525190558542928,"(np.float64(0.20965244472054498), np.float64(0.017934802106122617), np.float64(0.03304293328871359))",1054
euclidean_auto_25_1,0.8448584709662041,0.21242702247403605,-0.005450977612026727,"(np.float64(0.1987277899033864), np.float64(0.017781388440959722), np.float64(0.032642089848638735))",1122
euclidean_brute_25_1,0.8448584709662041,0.21242702247403605,-0.005450977612026727,"(np.float64(0.1987277899033864), np.float64(0.017781388440959722), np.float64(0.032642089848638735))",1122
cosine_auto_25_1,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
cosine_brute_25_1,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
l1_auto_25_1,0.8447244544163643,0.21447842442754309,-0.00543547695526468,"(np.float64(0.2040839196329727), np.float64(0.01779744173209449), np.float64(0.03273976368072828))",1058
l1_brute_25_1,0.8447244544163643,0.21447842442754309,-0.00543547695526468,"(np.float64(0.2040839196329727), np.float64(0.01779744173209449), np.float64(0.03273976368072828))",1058
euclidean_auto_15_1.5,0.818907245415867,0.42845060599446305,-0.0036374068174033513,"(np.float64(0.20388589404656535), np.float64(0.016760708217107723), np.float64(0.030975070040869936))",1048
euclidean_brute_15_1.5,0.818907245415867,0.42845060599446305,-0.0036374068174033513,"(np.float64(0.20388589404656535), np.float64(0.016760708217107723), np.float64(0.030975070040869936))",1048
cosine_auto_15_1.5,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
cosine_brute_15_1.5,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
l1_auto_15_1.5,0.7985377082700452,0.45690215523925876,-0.0008676075833764882,"(np.float64(0.2401420616248711), np.float64(0.016077884635443237), np.float64(0.0301379843316297))",1392
l1_brute_15_1.5,0.7985377082700452,0.45690215523925876,-0.0008676075833764882,"(np.float64(0.2401420616248711), np.float64(0.016077884635443237), np.float64(0.0301379843316297))",1392
euclidean_auto_20_1.5,0.805622371435148,0.4689886311971442,-0.0058937082773906505,"(np.float64(0.2284157376006384), np.float64(0.017839961877071125), np.float64(0.03309509635359586))",948
euclidean_brute_20_1.5,0.805622371435148,0.4689886311971442,-0.0058937082773906505,"(np.float64(0.2284157376006384), np.float64(0.017839961877071125), np.float64(0.03309509635359586))",948
cosine_auto_20_1.5,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
cosine_brute_20_1.5,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
l1_auto_20_1.5,0.7939076904465376,0.4839625326530771,-0.004817140105138838,"(np.float64(0.21322757936378142), np.float64(0.017060560095626932), np.float64(0.03159330689214297))",830
l1_brute_20_1.5,0.7939076904465376,0.4839625326530771,-0.004817140105138838,"(np.float64(0.21322757936378142), np.float64(0.017060560095626932), np.float64(0.03159330689214297))",830
euclidean_auto_25_1.5,0.8171155315330877,0.37980790960761424,-0.005507351770579185,"(np.float64(0.20285967379039194), np.float64(0.01765357495386347), np.float64(0.032480574085853156))",1056
euclidean_brute_25_1.5,0.8171155315330877,0.37980790960761424,-0.005507351770579185,"(np.float64(0.20285967379039194), np.float64(0.01765357495386347), np.float64(0.032480574085853156))",1056
cosine_auto_25_1.5,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
cosine_brute_25_1.5,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
l1_auto_25_1.5,0.8047384395803685,0.43797032820804455,-0.00549471887384776,"(np.float64(0.20985430730608096), np.float64(0.017206723186572157), np.float64(0.031805589602857176))",920
l1_brute_25_1.5,0.8047384395803685,0.43797032820804455,-0.00549471887384776,"(np.float64(0.20985430730608096), np.float64(0.017206723186572157), np.float64(0.031805589602857176))",920
euclidean_auto_15_3,0.818907245415867,0.42845060599446305,-0.0036374068174033513,"(np.float64(0.20388589404656535), np.float64(0.016760708217107723), np.float64(0.030975070040869936))",1048
euclidean_brute_15_3,0.818907245415867,0.42845060599446305,-0.0036374068174033513,"(np.float64(0.20388589404656535), np.float64(0.016760708217107723), np.float64(0.030975070040869936))",1048
cosine_auto_15_3,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
cosine_brute_15_3,0.8258806857364613,0.42144592589464147,0.006402816292294917,"(np.float64(0.3356309718134513), np.float64(0.014488890289327963), np.float64(0.027778603013833527))",2056
l1_auto_15_3,0.7911135327675688,0.4629018437305646,-0.00548196431547512,"(np.float64(0.28186717354529967), np.float64(0.01865619468507081), np.float64(0.03499607299064158))",1864
l1_brute_15_3,0.7911135327675688,0.4629018437305646,-0.00548196431547512,"(np.float64(0.28186717354529967), np.float64(0.01865619468507081), np.float64(0.03499607299064158))",1864
euclidean_auto_20_3,0.805622371435148,0.4689886311971442,-0.0058937082773906505,"(np.float64(0.2284157376006384), np.float64(0.017839961877071125), np.float64(0.03309509635359586))",948
euclidean_brute_20_3,0.805622371435148,0.4689886311971442,-0.0058937082773906505,"(np.float64(0.2284157376006384), np.float64(0.017839961877071125), np.float64(0.03309509635359586))",948
cosine_auto_20_3,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
cosine_brute_20_3,0.7999289001931132,0.4617600705191401,-0.007016587742695221,"(np.float64(0.23094633713635743), np.float64(0.016697963279921353), np.float64(0.03114413253729573))",1450
l1_auto_20_3,0.7928782003918292,0.48718193890196737,-0.0049255263292691505,"(np.float64(0.21189814100802018), np.float64(0.016872022377588745), np.float64(0.03125538858693381))",827
l1_brute_20_3,0.7928782003918292,0.48718193890196737,-0.0049255263292691505,"(np.float64(0.21189814100802018), np.float64(0.016872022377588745), np.float64(0.03125538858693381))",827
euclidean_auto_25_3,0.8171155315330877,0.37980790960761424,-0.005507351770579185,"(np.float64(0.20285967379039194), np.float64(0.01765357495386347), np.float64(0.032480574085853156))",1056
euclidean_brute_25_3,0.8171155315330877,0.37980790960761424,-0.005507351770579185,"(np.float64(0.20285967379039194), np.float64(0.01765357495386347), np.float64(0.032480574085853156))",1056
cosine_auto_25_3,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
cosine_brute_25_3,0.8065970143091233,0.49312802679106,-0.005870584499450759,"(np.float64(0.20458288020530188), np.float64(0.017642959877068487), np.float64(0.03248449906328958))",1091
