k,affinity,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure
6,rbf_gamma10,lobpcg,0.02147860111032792,2.066689913963688,-3.6045491208973566e-05,"(np.float64(0.01469235562216354), np.float64(0.02731148903244163), np.float64(0.019106351465446515))"
7,nearest_neighbors,lobpcg,0.09741047107994992,2.386710514859188,0.18210640783771134,"(np.float64(0.37196990386906303), np.float64(0.19272811796814843), np.float64(0.2539022866779009))"
7,rbf_gamma0.1,lobpcg,0.27565958615416125,1.6857807100886888,0.26531301306847993,"(np.float64(0.7451748197289696), np.float64(0.29086056311966074), np.float64(0.41840649706966004))"
7,rbf_gamma1,lobpcg,0.10731222040123743,1.5321283425882957,0.46168640353443813,"(np.float64(0.4290216910883656), np.float64(0.34659771427947694), np.float64(0.38343016298572985))"
7,rbf_gamma10,lobpcg,0.06563281314336346,2.167729703080361,0.3355766256818658,"(np.float64(0.39800886925351825), np.float64(0.2513916875340631), np.float64(0.30814917002879794))"
8,nearest_neighbors,lobpcg,0.22690425579543638,1.6156559837036126,0.2232323142566052,"(np.float64(0.5691108254902744), np.float64(0.23268271241832328), np.float64(0.33031508556958183))"
8,rbf_gamma0.1,lobpcg,0.28190375364727627,1.7720820251882863,0.28014619224768433,"(np.float64(0.8101083729038083), np.float64(0.29267152799670304), np.float64(0.4299963304501146))"
8,rbf_gamma1,lobpcg,0.2414554807098087,1.36490989905144,0.2981122936392961,"(np.float64(0.5945662036866982), np.float64(0.29610380531533514), np.float64(0.3953278175848448))"
8,rbf_gamma10,lobpcg,0.10717384748634287,1.7605552623815646,0.11616662786806294,"(np.float64(0.19430921752731814), np.float64(0.10811828103201339), np.float64(0.13893166916240382))"
9,nearest_neighbors,lobpcg,0.19801584628514227,2.0949236762741053,0.3697630609825747,"(np.float64(0.7907358282819532), np.float64(0.302347913042456), np.float64(0.43743643494189016))"
9,rbf_gamma0.1,lobpcg,0.2898682106813511,1.6893570171541967,0.27376200071805584,"(np.float64(0.8076370786554675), np.float64(0.27967705667114945), np.float64(0.4154780181331786))"
9,rbf_gamma1,lobpcg,0.19812796863308135,1.5142054406812624,0.3855421565037173,"(np.float64(0.629137492081042), np.float64(0.2898686952839421), np.float64(0.3968792952453013))"
9,rbf_gamma10,lobpcg,0.07011751407492597,1.7446832358773277,0.10871271307605894,"(np.float64(0.24070476763056725), np.float64(0.16033234676820501), np.float64(0.19246478137247672))"
