,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k2_cosine_seed50,2,cosine,50,0.16142255664328473,1.6638663855453162,0.13182908207426086,"(np.float64(0.19802595030859285), np.float64(0.30735202519335963), np.float64(0.24086398623815955))",39387.83172571866
k2_cosine_seed55,2,cosine,55,0.1601105527018482,2.2777973384775736,0.6197671530086495,"(np.float64(0.5611644175038817), np.float64(0.582083458095466), np.float64(0.5714325504948677))",38524.03548825978
k2_cosine_seed60,2,cosine,60,0.10350845906457223,3.11902216968976,0.0018375719863082016,"(np.float64(0.0015511347255085467), np.float64(0.0015529169158460085), np.float64(0.0015520253090552483))",41242.67829290945
k2_cosine_seed65,2,cosine,65,0.1601105527018482,2.2777973384775736,0.6197671530086495,"(np.float64(0.5611644175038817), np.float64(0.5820834580954661), np.float64(0.5714325504948679))",38524.03548825978
k3_L1_seed20,3,L1,20,0.20571452818683175,1.715340238442856,0.45090650032001117,"(np.float64(0.4996953125993754), np.float64(0.3656657084977375), np.float64(0.4223010652432508))",22067.42213019427
k3_L1_seed25,3,L1,25,0.15733504704489332,2.378989879510716,0.44641608570823466,"(np.float64(0.5451358032782635), np.float64(0.3466252216155262), np.float64(0.42378577521795413))",23548.83592161349
k3_L1_seed30,3,L1,30,0.15733504704489332,2.378989879510716,0.44641608570823466,"(np.float64(0.5451358032782635), np.float64(0.3466252216155262), np.float64(0.42378577521795413))",23548.83592161349
k3_L1_seed35,3,L1,35,0.17459827158765068,2.1490916819518033,0.4620494590965075,"(np.float64(0.6129456150771914), np.float64(0.41792039782138773), np.float64(0.4969850050166264))",23508.207999208465
k3_L1_seed40,3,L1,40,0.20571452818683175,1.715340238442856,0.45090650032001117,"(np.float64(0.4996953125993754), np.float64(0.36566570849773755), np.float64(0.42230106524325084))",22067.42213019427
k3_L1_seed45,3,L1,45,0.19449991624926274,1.9880698465236366,0.25565448975445193,"(np.float64(0.29048588318425095), np.float64(0.19839518021930438), np.float64(0.23576695216738539))",22560.487683392337
