,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
L2_seed25,16,L2,25,0.12733835512673167,2.5092298308463143,0.09992145569027897,"(np.float64(0.7487840210985995), np.float64(0.19611847158166318), np.float64(0.3108265221019384))",2589.7658996366645
L2_seed30,16,L2,30,0.13012560606358367,2.4511014916679255,0.09921588861143918,"(np.float64(0.7487840210985997), np.float64(0.19592011936648163), np.float64(0.310577351171828))",2586.728399636665
L2_seed35,16,L2,35,0.12560003883074095,2.567651981921301,0.09921588861143918,"(np.float64(0.7487840210985997), np.float64(0.19592011936648163), np.float64(0.310577351171828))",2596.853399636665
L2_seed40,16,L2,40,0.1317088890579911,2.4331753102675995,0.09921588861143918,"(np.float64(0.7487840210985997), np.float64(0.19595349373737692), np.float64(0.31061928352547064))",2580.074828208093
L2_seed45,16,L2,45,0.1308378935942089,2.4398198834073077,0.09851032269768194,"(np.float64(0.7487840210985999), np.float64(0.19575547492716594), np.float64(0.3103704446130032))",2583.224828208093
L2_seed50,16,L2,50,0.12816672685128344,2.498095128533996,0.09851032269768194,"(np.float64(0.7487840210985999), np.float64(0.1957554749271659), np.float64(0.31037044461300317))",2588.287328208093
L2_seed55,16,L2,55,0.12990291768762224,2.5024259660540844,0.09992145569027897,"(np.float64(0.7487840210985997), np.float64(0.19611847158166323), np.float64(0.31082652210193845))",2590.5855424938077
L2_seed60,16,L2,60,0.13030273169798753,2.4959282988626734,0.09992145569027897,"(np.float64(0.7487840210985995), np.float64(0.19611847158166318), np.float64(0.3108265221019384))",2589.4605424938077
L2_seed65,16,L2,65,0.12667531258517362,2.556041018603409,0.09851032269768194,"(np.float64(0.7487840210985994), np.float64(0.19575547492716583), np.float64(0.31037044461300306))",2593.349828208093
cosine_seed20,16,cosine,20,0.1314568164336114,2.3310066783953314,0.10781100311719126,"(np.float64(0.7441808924295497), np.float64(0.1969972409775079), np.float64(0.31152781262799695))",2566.7757305476002
cosine_seed25,16,cosine,25,0.12972278859239392,2.3967888537259965,0.10781100311719126,"(np.float64(0.7441808924295497), np.float64(0.1969972409775079), np.float64(0.31152781262799695))",2573.5257305476002
cosine_seed30,16,cosine,30,0.13145681643361137,2.331006678395331,0.10781100311719126,"(np.float64(0.7441808924295498), np.float64(0.19699724097750793), np.float64(0.311527812627997))",2566.7757305476002
cosine_seed35,16,cosine,35,0.12798433453095293,2.4761096162097638,0.10781100311719126,"(np.float64(0.7441808924295498), np.float64(0.19699724097750793), np.float64(0.311527812627997))",2579.8538555476002
cosine_seed40,16,cosine,40,0.12939381275364437,2.412597945140885,0.10781100311719126,"(np.float64(0.7441808924295498), np.float64(0.19699724097750793), np.float64(0.311527812627997))",2574.7913555476002
cosine_seed45,16,cosine,45,0.12972278859239392,2.3967888537259965,0.10781100311719126,"(np.float64(0.7441808924295498), np.float64(0.19699724097750793), np.float64(0.311527812627997))",2573.5257305476002
cosine_seed50,16,cosine,50,0.12928026141833582,2.4181787547558145,0.10781100311719126,"(np.float64(0.7441808924295498), np.float64(0.19699724097750793), np.float64(0.311527812627997))",2575.2132305476002
cosine_seed55,16,cosine,55,0.1283133103697025,2.460300524794875,0.10781100311719126,"(np.float64(0.7441808924295498), np.float64(0.19699724097750793), np.float64(0.311527812627997))",2578.5882305476
cosine_seed60,16,cosine,60,0.1283133103697025,2.460300524794875,0.10781100311719126,"(np.float64(0.74418089242955), np.float64(0.19699724097750798), np.float64(0.3115278126279971))",2578.5882305476
cosine_seed65,16,cosine,65,0.13145681643361137,2.331006678395331,0.10781100311719126,"(np.float64(0.7441808924295497), np.float64(0.1969972409775079), np.float64(0.31152781262799695))",2566.7757305476002
