,k,distance,seed,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure,sum_of_squared_error
k4_cosine_seed65,4,cosine,65,0.2447684357700193,1.4593459682129404,0.018193167067102847,"(np.float64(0.03529752996053082), np.float64(0.029783792328121037), np.float64(0.032307097184575584))",173.89841216051997
k5_L1_seed20,5,L1,20,0.20277419321620363,1.819150836765249,0.017099882096954754,"(np.float64(0.045795065080856394), np.float64(0.033167246715474795), np.float64(0.03847142231108185))",139.94005626429794
k5_L1_seed25,5,L1,25,0.25715563981208656,1.2943074466204698,0.026099666524986607,"(np.float64(0.04467775092086922), np.float64(0.03229642659659199), np.float64(0.03749131850845307))",119.61332846955543
k5_L1_seed30,5,L1,30,0.2686436251427016,1.3071668548748305,0.013840137665195335,"(np.float64(0.03584558751663492), np.float64(0.025709294265312013), np.float64(0.029942864997864145))",116.17606832063261
k5_L1_seed35,5,L1,35,0.19853580025880213,1.6202498167658974,0.013259790872433182,"(np.float64(0.03683944506890825), np.float64(0.026421195830664084), np.float64(0.030772441714709133))",132.63535863485964
k5_L1_seed40,5,L1,40,0.20508139580963813,1.7498436579621426,0.0101750055021101,"(np.float64(0.039163918512883956), np.float64(0.02764099569137284), np.float64(0.03240868477316071))",133.51799663801552
k5_L1_seed45,5,L1,45,0.2680501945288419,1.2993679371536568,0.017150499805998677,"(np.float64(0.03842884308768792), np.float64(0.027556052140712203), np.float64(0.032096654853088304))",116.2150987402699
k5_L1_seed50,5,L1,50,0.21825425162436557,1.627913711271578,0.01858344896452313,"(np.float64(0.04930448717648327), np.float64(0.03606940702641097), np.float64(0.041661063555813456))",133.114066523907
k5_L1_seed55,5,L1,55,0.22368056185230564,1.601589548052973,0.017853889639826336,"(np.float64(0.047432301413874556), np.float64(0.03554537631761231), np.float64(0.0406374111558635))",133.54517662699547
k5_L1_seed60,5,L1,60,0.19428599534291507,1.80080132666574,0.019217119337727826,"(np.float64(0.046456011563397175), np.float64(0.03344971186240384), np.float64(0.0388943403413423))",139.40329800096328
k5_L1_seed65,5,L1,65,0.2682883569091687,1.2997662178849043,0.017125868212599784,"(np.float64(0.03866272086154051), np.float64(0.02770955133593334), np.float64(0.032282355659371036))",116.13939292691028
k5_L2_seed20,5,L2,20,0.264977366948567,1.2577640666224226,0.015984324988804168,"(np.float64(0.03297578977416366), np.float64(0.023840309021052938), np.float64(0.027673600796242145))",117.08745426094
k5_L2_seed25,5,L2,25,0.27134545374002406,1.2735001488573146,0.017682363803275754,"(np.float64(0.03568636735826483), np.float64(0.025352574430878582), np.float64(0.029644723781204384))",114.51897376787065
k5_L2_seed30,5,L2,30,0.2647165936155199,1.256164854852089,0.016166372810296245,"(np.float64(0.033167430625235715), np.float64(0.02397667086552155), np.float64(0.027832953771612722))",117.08453109329187
k5_L2_seed35,5,L2,35,0.2647165936155199,1.256164854852089,0.016166372810296245,"(np.float64(0.033167430625235715), np.float64(0.02397667086552155), np.float64(0.027832953771612722))",117.08453109329189
k5_L2_seed40,5,L2,40,0.264977366948567,1.2577640666224226,0.015984324988804168,"(np.float64(0.03297578977416366), np.float64(0.023840309021052934), np.float64(0.02767360079624214))",117.08745426094
k5_L2_seed45,5,L2,45,0.264977366948567,1.2577640666224228,0.015984324988804168,"(np.float64(0.03297578977416366), np.float64(0.023840309021052938), np.float64(0.027673600796242145))",117.08745426094
k5_L2_seed50,5,L2,50,0.18816264089725981,1.6324885319879248,0.00853308416065062,"(np.float64(0.037864839801704596), np.float64(0.026465160622120572), np.float64(0.031154952920281354))",139.95428396905123
k5_L2_seed55,5,L2,55,0.259684266942757,1.4000842722819422,0.02134573073384849,"(np.float64(0.03771106283603314), np.float64(0.027360090630005253), np.float64(0.03171230390087338))",121.00068525779318
k5_L2_seed60,5,L2,60,0.2604172880283021,1.4011778176062613,0.02115802993606868,"(np.float64(0.037595348617973125), np.float64(0.027289272669865916), np.float64(0.03162381776116873))",120.99627701335719
k5_L2_seed65,5,L2,65,0.27158261692499613,1.2732695829777385,0.01747652593983578,"(np.float64(0.03519955718611671), np.float64(0.02502286507662888), np.float64(0.029251356459308413))",114.51813436945989
k5_cosine_seed20,5,cosine,20,0.25998582308633783,1.2634229854513284,0.019332966884374178,"(np.float64(0.03503200396215459), np.float64(0.02533803275916618), np.float64(0.02940670942805061))",118.4429062244761
k5_cosine_seed25,5,cosine,25,0.29296112972211735,1.277661089818335,0.004639219834690238,"(np.float64(0.0238382061395149), np.float64(0.020712189495089354), np.float64(0.022165524492048477))",129.73777079394628
k5_cosine_seed30,5,cosine,30,0.2668002925809431,1.2741227241567643,0.0215495032840622,"(np.float64(0.03778414091481113), np.float64(0.026899425733213196), np.float64(0.03142596319593233))",115.6527926237595
k5_cosine_seed35,5,cosine,35,0.21115610447056052,1.551183397239352,0.011179000875907756,"(np.float64(0.03931099265877734), np.float64(0.02742988624274902), np.float64(0.03231291150093451))",129.86061834129305
k5_cosine_seed40,5,cosine,40,0.25998582308633783,1.2634229854513284,0.019332966884374178,"(np.float64(0.03503200396215459), np.float64(0.02533803275916618), np.float64(0.02940670942805061))",118.4429062244761
k5_cosine_seed45,5,cosine,45,0.259703024734006,1.2645386015322952,0.01959009434165814,"(np.float64(0.03517868868088535), np.float64(0.025456289342289832), np.float64(0.02953802926755178))",118.54273505202134
k5_cosine_seed50,5,cosine,50,0.23616715925742532,1.4228686474082943,0.021886984506389835,"(np.float64(0.03297489497788103), np.float64(0.026376787957379765), np.float64(0.029309086776769525))",134.7852997984216
k5_cosine_seed55,5,cosine,55,0.2669055471594001,1.2730873298171503,0.02179456802403739,"(np.float64(0.03797603672007138), np.float64(0.027039236491560367), np.float64(0.03158774814476917))",115.61063677289019
k5_cosine_seed60,5,cosine,60,0.2402271338254409,1.4405481236393027,0.021641701573050114,"(np.float64(0.033018082095146215), np.float64(0.02714525673362048), np.float64(0.029795032415852202))",140.62753857386582
k5_cosine_seed65,5,cosine,65,0.2680075981927179,1.2848300664492336,0.01953139632288439,"(np.float64(0.03775450066500305), np.float64(0.026798428379798338), np.float64(0.03134671956973307))",115.25071078185674
k6_L1_seed20,6,L1,20,0.21116852633079983,1.4640464377594669,0.024375428967680374,"(np.float64(0.04554422780110948), np.float64(0.028995308997535486), np.float64(0.035432711681978736))",97.51013332908188
k6_L1_seed25,6,L1,25,0.250198699890015,1.542909513934193,0.004311174204948252,"(np.float64(0.039111292075925536), np.float64(0.025311330302698408), np.float64(0.030733267158262717))",95.08463853092063
k6_L1_seed30,6,L1,30,0.26490713755714734,1.3807179718511133,0.012059909330554973,"(np.float64(0.03753338909138305), np.float64(0.02485959022666197), np.float64(0.02990928411587456))",90.42352400811454
k6_L1_seed35,6,L1,35,0.21761324564180384,1.458620678539558,0.017028660501910316,"(np.float64(0.04605777020426376), np.float64(0.02860480492755337), np.float64(0.03529140348467861))",94.70127730646625
k6_L1_seed40,6,L1,40,0.24914827836007775,1.4225971241166804,0.01515807132757908,"(np.float64(0.04666181558027567), np.float64(0.029171798511502877), np.float64(0.03589988684018904))",90.73047445920243
k6_L1_seed45,6,L1,45,0.2683519302050771,1.3952832905031787,0.015989477365513986,"(np.float64(0.03994577153270861), np.float64(0.02626749325180945), np.float64(0.03169380901511101))",89.86180524409879
k6_L1_seed50,6,L1,50,0.24711104921954147,1.5665537419703763,0.022652894806649004,"(np.float64(0.03991492558161784), np.float64(0.0276541085040096), np.float64(0.03267211668483268))",98.39060558755277
k6_L1_seed55,6,L1,55,0.19242677807917644,1.6631475785136347,0.01722660313725414,"(np.float64(0.04611180569345191), np.float64(0.029090379447626154), np.float64(0.03567475924060614))",100.22227213857973
k6_L1_seed60,6,L1,60,0.23261054681744098,1.4466456187384333,0.017761200665389713,"(np.float64(0.04953137733909913), np.float64(0.031082044903798522), np.float64(0.03819553746179054))",93.65216923781446
k6_L1_seed65,6,L1,65,0.20083635721381685,1.9480971382840757,0.015473732124688047,"(np.float64(0.0458678145888553), np.float64(0.03232779759898996), np.float64(0.03792554044527323))",114.75932554188785
k6_L2_seed20,6,L2,20,0.2522236909899228,1.321400481205714,0.007713860861514591,"(np.float64(0.03538868271717328), np.float64(0.022224644754737226), np.float64(0.027302741786984795))",90.44154116329021
k6_L2_seed25,6,L2,25,0.2726994208792667,1.3737943277554574,0.01901906005752783,"(np.float64(0.040106941857019233), np.float64(0.026131119418885698), np.float64(0.03164462446527899))",88.44978846857033
k6_L2_seed30,6,L2,30,0.2366710181319709,1.4752797352205198,0.01943429554816765,"(np.float64(0.04179268415383908), np.float64(0.02594648541871518), np.float64(0.03201613709908566))",91.31055811688805
k6_L2_seed35,6,L2,35,0.20681814709060262,1.5906431990354255,0.013223208659854766,"(np.float64(0.04661412234109533), np.float64(0.029525973739636106), np.float64(0.03615249843341526))",98.4035678003102
k6_L2_seed40,6,L2,40,0.25104651404671563,1.3318959742232057,0.00828751041941359,"(np.float64(0.03535840841548919), np.float64(0.022164487981209336), np.float64(0.02724831562566384))",90.46672752781289
k6_L2_seed45,6,L2,45,0.23838891694545392,1.4971270107687582,0.022826670471316535,"(np.float64(0.043265701392556435), np.float64(0.026693335373488586), np.float64(0.033016631755606464))",91.46200986871288
k6_L2_seed50,6,L2,50,0.2569530521958611,1.3405736570851454,0.011511086961444495,"(np.float64(0.040577691088750194), np.float64(0.025039217574238246), np.float64(0.03096865294431475))",88.3366873502526
k6_L2_seed55,6,L2,55,0.2541391974601977,1.359931478673654,0.012127698719813822,"(np.float64(0.03699469766942057), np.float64(0.022863310063861594), np.float64(0.02826092199070929))",88.39929825967073
k6_L2_seed60,6,L2,60,0.25161819993502776,1.334989677446696,0.008849698557228211,"(np.float64(0.03640455635701209), np.float64(0.022861202835662717), np.float64(0.028085422623687017))",90.12067323319616
k6_L2_seed65,6,L2,65,0.24131355032882965,1.3876483651647415,0.016742400047387484,"(np.float64(0.041060738036034425), np.float64(0.025158281915282604), np.float64(0.031200027542527098))",88.16918145701804
k6_cosine_seed20,6,cosine,20,0.29538025162810433,1.2727412930387108,0.004136031080238484,"(np.float64(0.022473546537491975), np.float64(0.01932311390690125), np.float64(0.02077959794006733))",106.76341321390231
k6_cosine_seed25,6,cosine,25,0.24800024891095976,1.3981128590430363,0.013222051688242316,"(np.float64(0.03767786432238365), np.float64(0.023505299683803233), np.float64(0.028950104386682263))",91.60982658100026
k6_cosine_seed30,6,cosine,30,0.258827710118995,1.3634889365703196,0.011775705949617597,"(np.float64(0.03946294703571085), np.float64(0.024244053662957652), np.float64(0.030035688233309835))",88.73198253165928
k6_cosine_seed35,6,cosine,35,0.25257901974226155,1.3737769709701781,0.0139426799859673,"(np.float64(0.040406879012962506), np.float64(0.024778498459812674), np.float64(0.03071921428411429))",88.97153917211479
